Country,Origin,Total Deaths,Total Damages ('000 US$)
Hungary,Snowmelt and strong rains,NA,NA
Indonesia,NA,5778,3100000
Indonesia,NA,1,NA
Indonesia,Earthquake,802,55000
Indonesia,NA,NA,NA
Indonesia,Heavy rains,NA,NA
Indonesia,Heavy rains,156,27000
Indonesia,Heavy rains,11,10943
Indonesia,Heavy rains,17,NA
Indonesia,NA,NA,14000
India,Heavy rain,20,NA
India,NA,39,NA
India,Monsoonal rain,21,NA
India,Monsoonal rain,32,NA
India,Monsoonal rain,41,NA
India,Monsoonal rain,130,NA
India,Heavy rain,24,NA
India,Monsoonal rain,15,NA
India,Monsoonal rain,NA,NA
India,Monsoonal rain,135,NA
India,Monsoonal rain,42,NA
India,Monsoonal rain and Cyclonic storm Ogni,47,NA
India,Monsoonal rain,185,NA
India,Heavy rains and hailstorms,61,NA
India,NA,47,NA
Iran (Islamic Republic of),NA,NA,NA
Iran (Islamic Republic of),NA,63,42262
Iran (Islamic Republic of),NA,NA,NA
Iran (Islamic Republic of),Heavy rains,14,16000
Iraq,Heavy rains,20,NA
Iraq,"Heavy rains, melting ice",NA,1300
Haiti,Heavy rains,14,NA
Argentina,Heavy rains,5,30000
Afghanistan,Heavy rain and snowmelt,104,NA
Bolivia (Plurinational State of),Heavy rain due to El Nino,40,90000
Brazil,Heavy rain,59,125000
Colombia,NA,NA,NA
Dominican Republic (the),Heavy rains,3,NA
Fiji,NA,1,NA
Indonesia,Torrential rain,74,NA
China,NA,13,26000
Algeria,NA,15,NA
Canada,NA,2,NA
Indonesia,NA,32,NA
Angola,Heavy rain,NA,NA
Angola,"Torrential rain, El Nino blamed",105,NA
Angola,After flooding,515,NA
Argentina,Heavy rain,5,10000
Austria,NA,NA,400000
Burundi,Torrential rain,4,NA
Belgium,NA,2,450000
Burkina Faso,NA,1490,NA
Bangladesh,NA,130,NA
Belarus,NA,NA,10000
Bolivia (Plurinational State of),NA,1,NA
Brazil,Dam break,NA,NA
Switzerland,NA,NA,NA
Switzerland,NA,NA,100000
Côte d’Ivoire,NA,30,NA
Czech Republic (the),NA,4,150000
Germany,NA,7,NA
Germany,NA,11,5500000
Denmark,NA,NA,100000
Algeria,Heavy rain,22,13561
Spain,NA,1,NA
Spain,Heavy rain and snowmelt,1,NA
Fiji,Heavy rain,1,30000
France,NA,1,NA
France,NA,3,250000
United Kingdom of Great Britain and Northern Ireland (the),NA,13,1200000
Indonesia,NA,67,200000
Indonesia,Torrential rains,68,971000
Indonesia,Heavy rain,11,NA
Indonesia,NA,22,NA
Nepal,Late monsoon rains,51,NA
Japan,NA,32,1000000
Jamaica,NA,1,3500
Viet Nam,NA,75,219250
Philippines (the),Monsoonal rains,4,515
Russian Federation (the),Heavy rains,NA,21168
Romania,Heavy rains,8,NA
United States of America (the),NA,1833,125000000
Jamaica,NA,1,30000
United States of America (the),Storm,3,245000
Cambodia,NA,NA,NA
Japan,NA,3,NA
Philippines (the),NA,16,2000
United States of America (the),NA,4,14300000
Madagascar,"Locust infestation, repeated floods, pest infestation",NA,NA
Malawi,Poor rainfall and indequater supplies of fertlizer,NA,NA
Niger (the),Drought and locusts infestation,NA,NA
Mozambique,Poor and erratic rainfall,NA,NA
Japan,NA,100,33000
Kyrgyzstan,Torrential rains,3,2660
Korea (the Republic of),Monsoonal rains,18,NA
Sri Lanka,Monsoonal rain,6,NA
Mexico,Heavy rains,30,NA
Malaysia,Brief torrential rain,4,NA
New Zealand,NA,NA,72000
Korea (the Democratic People's Republic of),Mosoonal rains,193,NA
El Salvador,NA,1,NA
El Salvador,Heavy rain,33,NA
El Salvador,Heavy rains,15,NA
El Salvador,NA,69,355700
Thailand,Heavy rains,55,97000
Tajikistan,Seasonal warming of temperatures and rapid melting of snow,NA,50000
Tajikistan,Heavy rains,8,NA
Trinidad and Tobago,NA,NA,NA
Turkey,Heavy rains,7,NA
Taiwan (Province of China),Heavy rain,16,62000
Viet Nam,Torrential rains,69,27000
Mauritania,Heavy rains,NA,NA
Pakistan,Monsoonal rain,42,NA
Russian Federation (the),Heavy rains,NA,2500
Thailand,NA,10,20000
Malaysia,NA,NA,NA
Thailand,NA,NA,NA
Thailand,NA,NA,246
Mexico,NA,36,2500000
Mexico,NA,7,5000000
Mexico,NA,8,NA
Mozambique,Heavy rains,16,NA
Nicaragua,NA,4,NA
Sudan (the),Heavy rains,5,NA
United States of America (the),NA,NA,5330
United States of America (the),Heavy rain,11,NA
Viet Nam,Heavy rains,NA,NA
Viet Nam,NA,8,20000
Mexico,NA,2,10000
Myanmar,Monsoon rains,17,NA
Nicaragua,NA,3,NA
Taiwan (Province of China),NA,12,100000
Taiwan (Province of China),NA,NA,1000
United States of America (the),NA,10,16000000
Viet Nam,NA,13,NA
Mali,NA,NA,NA
Somalia,NA,2,NA
Kenya,Lack of rains,27,NA
Italy,NA,9,NA
Moldova (the Republic of),NA,13,NA
Netherlands (the),NA,NA,NA
Poland,NA,191,NA
Russian Federation (the),NA,116,1000000
Turkey,NA,17,NA
Ukraine,NA,801,NA
Jamaica,NA,4,1000
Japan,Heavy rains,NA,NA
Kenya,Heavy rains,5,NA
Kenya,Heavy rain,20,NA
Kenya,NA,12,NA
Kenya,NA,41,NA
Cambodia,Monsoonal rain,16,NA
Korea (the Republic of),NA,5,500
Korea (the Republic of),NA,5,5000
Korea (the Republic of),NA,1,160000
Liberia,NA,29,NA
Lithuania,Heavy rains,NA,NA
Latvia,NA,40,NA
Morocco,NA,1,50
Moldova (the Republic of),Heavy rains and storms,NA,7752
Mexico,Heavy rains,3,NA
Mexico,NA,2,400000
Macedonia (the former Yugoslav Republic of),Heavy rains,NA,NA
Mali,Heavy rains,NA,NA
Mali,Polluted river,20,NA
Mali,NA,23,NA
Mali,NA,NA,NA
Mauritania,NA,55,NA
Mauritius,NA,NA,NA
Malawi,Heavy rains,1,NA
Malawi,NA,11,NA
Malaysia,Heavy rains,9,NA
Niger (the),NA,44,NA
Nigeria,Heavy rains,60,147
Nigeria,NA,12,NA
Netherlands (the),NA,NA,100000
Nepal,Monsoonal rain,NA,NA
Pakistan,NA,73338,5200000
Pakistan,Heavy snowfall during winter and unprecedented high temperatures,39,NA
Pakistan,NA,24,NA
Pakistan,NA,106,NA
Pakistan,NA,22,NA
Pakistan,NA,20,NA
Peru,NA,NA,50
Peru,NA,5,NA
Philippines (the),NA,1,NA
Papua New Guinea,NA,1,NA
Papua New Guinea,NA,NA,NA
Papua New Guinea,Heavy rainsfalls,1,NA
Portugal,NA,462,NA
Portugal,NA,15,1650000
Paraguay,NA,NA,NA
Réunion,NA,NA,NA
Romania,Heavy rains,24,800000
Romania,Heavy rains,33,313000
Romania,Heavy rains,10,NA
Romania,NA,13,NA
Romania,NA,68,NA
Russian Federation (the),Heavy rains,19,NA
Sudan (the),Heavy rains,NA,NA
Sudan (the),NA,382,NA
Sudan (the),NA,144,NA
Senegal,Heavy rains,NA,NA
Sierra Leone,Heavy rains,20,NA
El Salvador,NA,2,NA
El Salvador,NA,NA,NA
Somalia,NA,7,NA
Somalia,NA,13,NA
Somalia,NA,NA,NA
Canary Is,NA,19,375000
Serbia Montenegro,NA,3,NA
Sao Tome and Principe,NA,25,NA
Slovakia,NA,NA,NA
Slovenia,NA,NA,5000
Sweden,NA,NA,NA
Seychelles,NA,NA,NA
Thailand,Monsoonal rain,21,121000
Thailand,NA,NA,420000
Turkey,NA,NA,NA
Turkey,NA,NA,NA
Taiwan (Province of China),NA,3,38000
Taiwan (Province of China),NA,2,100000
"Tanzania, United Republic of",NA,2,NA
"Tanzania, United Republic of",NA,6,NA
Uganda,Poor sanitation,10,NA
Uganda,NA,11,NA
Uganda,NA,NA,NA
Uruguay,NA,7,NA
United States of America (the),NA,NA,NA
United States of America (the),NA,10,NA
United States of America (the),NA,5,2230000
United States of America (the),NA,33,NA
United States of America (the),NA,5,100000
Saint Vincent and the Grenadines,NA,NA,NA
Venezuela (Bolivarian Republic of),Heavy rains,5,NA
Venezuela (Bolivarian Republic of),Heavy rains,13,NA
Viet Nam,Heavy rains,67,12000
Viet Nam,Monsoonal rain,39,NA
Viet Nam,Heavy rains,17,15000
Viet Nam,NA,20,11000
Viet Nam,NA,NA,42120
Viet Nam,NA,16,NA
Vanuatu,NA,NA,NA
Yemen,Heavy rains,12,NA
Yemen,NA,65,NA
Yemen,NA,NA,NA
Congo (the Democratic Republic of the),NA,6,NA
United States of America (the),Heavy rains,1,259000
United States of America (the),Heavy rain,7,12000
Japan,NA,10,2500000
Mexico,NA,7,NA
Mexico,NA,4,2700
Philippines (the),NA,41,3328
Philippines (the),NA,37,3000
Philippines (the),NA,228,113000
Philippines (the),NA,34,9077
Viet Nam,NA,17,NA
United States of America (the),NA,NA,150000
Panama,Heavy rains,11,NA
Pakistan,NA,20,NA
Philippines (the),NA,1399,66400
"Tanzania, United Republic of",NA,NA,NA
Jamaica,Heavy rains,1,NA
Japan,Heavy rain,34,NA
Japan,Heavy rain,8,NA
Korea (the Republic of),Monsoonal rain,46,NA
Sri Lanka,Inter-Monsoonal rain and storms,25,3000
Macedonia (the former Yugoslav Republic of),Heavy rains,NA,NA
Malaysia,Monsoonal rain,6,22000
Pakistan,Monsoonal rain,40,NA
Pakistan,Monsoonal rain,233,NA
Panama,Torrential rains,NA,NA
Philippines (the),Incessant rains,NA,3395
Philippines (the),NA,6,NA
Philippines (the),NA,26,NA
Papua New Guinea,Heavy rain,NA,NA
Papua New Guinea,NA,1,NA
Korea (the Democratic People's Republic of),Monsoonal rain,278,NA
Portugal,Heavy rains,NA,NA
Romania,Torrential rain,14,NA
Serbia Montenegro,Snowmelt and hevay rains,NA,NA
Thailand,Monsoonal rain,116,25000
Thailand,Monsoonal rain,164,9940
Tajikistan,NA,1,NA
United States of America (the),"Heavy rain, thunderstoms",11,1000000
Viet Nam,Heavy rains,12,NA
Viet Nam,Heavy rain,42,8000
Korea (the Democratic People's Republic of),NA,NA,NA
Namibia,Heavy rain,5,8490
Nigeria,Torrentital rain,40,NA
Philippines (the),Heavy rain,2,763
Romania,Rains and snowmelt,NA,NA
Russian Federation (the),"Rain and snowmelt, excessive dumping of water",NA,125000
Sudan (the),NA,NA,NA
Serbia Montenegro,Rain and snowmelt,NA,NA
Ukraine,NA,NA,NA
Ukraine,Hevay rain,2,23855
United States of America (the),NA,28,600000
United States of America (the),NA,12,1600000
United States of America (the),NA,1,450000
Viet Nam,NA,13,10000
Viet Nam,NA,1,NA
Cambodia,Monsoonal rain,5,NA
Madagascar,NA,1,NA
Peru,"Torrential rains, electrical storms, thunderstorms",NA,NA
Philippines (the),NA,4,471
Philippines (the),NA,8,645
Romania,Snowmelt,6,NA
Romania,NA,1,NA
United States of America (the),Heavy rains,2,85000
United States of America (the),Heavy rain,14,NA
United States of America (the),NA,11,NA
Yemen,Heavy rains and lightening,25,NA
Japan,NA,1,NA
Lithuania,NA,NA,225573
Mexico,NA,4,NA
Myanmar,NA,34,NA
Nepal,Monsoonal rains,147,NA
United States of America (the),NA,10,1200000
United States of America (the),NA,12,95000
United States of America (the),NA,3,300000
United States of America (the),NA,6,32860
Viet Nam,NA,95,456000
Congo (the Democratic Republic of the),NA,3,NA
Mali,Scarcity of rain,NA,NA
Kyrgyzstan,NA,4,NA
Italy,NA,1,NA
Italy,NA,4,NA
Jamaica,NA,3,NA
Japan,NA,9,NA
Kenya,Heavy rains,60,NA
Kenya,Heavy rain,8,NA
Kenya,Heavy rain,30,NA
Kenya,Torrential rain,114,NA
Kenya,NA,15,NA
Kenya,Contamination of water,13,NA
Kenya,NA,155,NA
Kyrgyzstan,NA,NA,NA
Cambodia,Monsoonal rain,NA,NA
Cambodia,NA,NA,NA
Morocco,Heavy rain,6,NA
Morocco,Heavy rain,11,NA
Morocco,Heavy rains,NA,NA
Madagascar,NA,3,NA
Mexico,Heavy rain,NA,NA
Mexico,NA,11,NA
Mexico,NA,10,NA
Mexico,NA,5,NA
Mali,Heavy rain,1,NA
Mali,NA,9,NA
Myanmar,Monsoonal rain,25,NA
Mozambique,NA,4,NA
Mozambique,NA,27,NA
Mauritania,NA,NA,NA
Mauritania,Heavy rains and storms,7,NA
Montserrat,NA,NA,NA
Malawi,Heavy rains,5,NA
Malawi,Heavy rains,3,NA
Malawi,Floods and disruption of water and sanitation facilities,20,NA
Malaysia,Heavy rains,NA,NA
Malaysia,Heavy rains,NA,NA
Malaysia,Heavy rain,NA,NA
Namibia,NA,NA,NA
Namibia,NA,10,NA
Niger (the),Heavy rain,4,NA
Niger (the),NA,44,NA
Niger (the),NA,18,NA
Nigeria,Heavy rain,NA,NA
Nigeria,Heavy rains,NA,NA
Netherlands (the),NA,1000,NA
Nepal,Monsoonal rain,NA,NA
Nepal,NA,10,NA
Nepal,Poor rainfall,NA,NA
New Zealand,Brief torrential rain,NA,3000
Pakistan,Monsoonal rain,20,NA
Pakistan,Heavy rain,13,NA
Pakistan,Monsoonal rain,74,NA
Pakistan,Monsoonal rain,NA,NA
Pakistan,Monsoonal rain,29,NA
Pakistan,NA,84,NA
Panama,NA,NA,NA
Peru,NA,NA,NA
Peru,NA,NA,NA
Philippines (the),NA,NA,NA
Philippines (the),Tropical Depression Agaton,4,9600
Philippines (the),Heavy rains,1,NA
Philippines (the),Heavy rains,3,399
Philippines (the),Heavy rains,6,NA
Philippines (the),Continuous monsoon rain,11,NA
Philippines (the),NA,1126,2203
Philippines (the),NA,6,135000
Philippines (the),NA,42,NA
Papua New Guinea,NA,NA,NA
Papua New Guinea,NA,NA,NA
Papua New Guinea,Heavy rains,1,NA
Papua New Guinea,Torrential rain,14,NA
Poland,Heavy rain,NA,NA
Korea (the Democratic People's Republic of),NA,4,NA
Portugal,NA,41,NA
Paraguay,NA,17,NA
Romania,Heavy rains,NA,NA
Romania,Heavy rains,30,NA
Romania,NA,26,NA
Russian Federation (the),NA,NA,55000
Russian Federation (the),Snowmelt,NA,7411
Russian Federation (the),Heavy rain,NA,NA
Rwanda,Heavy rains,24,NA
Rwanda,Use of untreated water,35,NA
Sudan (the),NA,NA,NA
Sudan (the),Heavy rain,27,NA
Sudan (the),NA,24,NA
Sudan (the),NA,476,NA
Sudan (the),NA,196,NA
Sudan (the),NA,16,NA
Sudan (the),NA,430,NA
El Salvador,NA,NA,NA
El Salvador,NA,1,NA
Somalia,Torrential rain,5,NA
Somalia,Heavy rains,5,NA
Somalia,Monsoonal rain,5,NA
Somalia,Heavy rains,52,NA
Somalia,NA,35,NA
Somalia,NA,21,NA
Somalia,NA,51,NA
Somalia,NA,12,NA
Somalia,NA,20,NA
Somalia,NA,40,NA
Suriname,Torrential rain,3,NA
Slovakia,Heavy rains and snowmelt,1,NA
Slovakia,Heavy rain and unseasonable snow,NA,NA
Swaziland,NA,1,NA
Syrian Arab Republic,Heavy rain,6,NA
Chad,Heavy rains,52,NA
Chad,NA,20,NA
Togo,NA,NA,NA
Thailand,Heavy rains,NA,NA
Tajikistan,NA,3,22000
Tajikistan,NA,21,NA
Turkey,Torrential rains,47,317000
Turkey,Heavy rain,12,NA
Turkey,NA,20,NA
Taiwan (Province of China),NA,2,NA
Taiwan (Province of China),Heavy rain,3,116130
Taiwan (Province of China),NA,3,NA
Taiwan (Province of China),NA,NA,NA
"Tanzania, United Republic of",Heavy rain,NA,NA
"Tanzania, United Republic of",Heavy rain,NA,NA
"Tanzania, United Republic of",NA,15,NA
"Tanzania, United Republic of",NA,50,NA
"Tanzania, United Republic of",NA,5,NA
"Tanzania, United Republic of",NA,NA,NA
"Tanzania, United Republic of",NA,NA,NA
Uganda,Heavy rain,3,NA
Uganda,Heavy rain,NA,NA
Uganda,NA,43,NA
Uganda,NA,100,NA
Uganda,NA,49,NA
Uganda,NA,11,NA
United States of America (the),NA,NA,90000
United States of America (the),NA,NA,NA
United States of America (the),NA,NA,360000
United States of America (the),Severe storms,2,7000
United States of America (the),Heavy rain,NA,100000
United States of America (the),Heavy rain,1,NA
United States of America (the),Heavy rain,NA,15500
United States of America (the),Heavy rain,NA,NA
United States of America (the),Heavy rains,2,NA
United States of America (the),NA,164,NA
United States of America (the),NA,24,NA
United States of America (the),NA,4,25000
United States of America (the),NA,NA,25000
United States of America (the),NA,1,16000
United States of America (the),NA,10,NA
Venezuela (Bolivarian Republic of),Heavy rains,NA,NA
Viet Nam,Heavy rain,4,1000
Viet Nam,Monsoonal rain,60,NA
Viet Nam,Heavy rain,60,NA
Viet Nam,NA,204,NA
Viet Nam,NA,71,624000
Vanuatu,NA,NA,NA
Yemen,Heavy rain,5,NA
South Africa,Heavy rain,6,71000
South Africa,Heavy rain,6,145000
Congo (the Democratic Republic of the),Heavy rains,NA,NA
Japan,NA,1,250000
Madagascar,NA,80,240000
New Zealand,NA,NA,NA
Solomon Islands,Earthquake,52,NA
United States of America (the),NA,65,500000
Sri Lanka,Heavy rains,18,NA
Peru,Heavy rain,17,NA
Philippines (the),Heavy rains,9,4080
Réunion,NA,2,NA
Romania,Torrential rain,NA,NA
Thailand,Heavy rain,38,NA
Yemen,Heavy rain,7,NA
Mozambique,Heavy rains,29,71000
United States of America (the),NA,16,140000
Madagascar,NA,1,NA
Madagascar,Heavy rains and cyclones,7,NA
Madagascar,NA,3,NA
Mozambique,Torrential rains,5,NA
Mozambique,NA,10,NA
Mauritius,NA,2,NA
Malawi,Heavy rains,2,NA
Malawi,Heavy rain,NA,NA
Malaysia,Monsoonal rain,17,605000
Namibia,Excessive rains,7,NA
Namibia,NA,7,NA
Netherlands (the),NA,7,550000
Pakistan,Heavy snow fall,43,NA
Pakistan,NA,20,NA
Pakistan,Heavy rain,80,NA
Poland,NA,6,100000
Russian Federation (the),NA,NA,NA
Rwanda,Heavy rain,10,9
Slovenia,NA,NA,100000
"Tanzania, United Republic of",NA,109,NA
Ukraine,NA,NA,100000
Uruguay,Heavy rain,NA,NA
United States of America (the),NA,20,130000
United States of America (the),NA,20,600000
United States of America (the),Heavy rains,24,NA
Yemen,Heavy rain,36,NA
Zambia,NA,NA,NA
Congo (the Democratic Republic of the),NA,38,NA
Zambia,Heavy rains,NA,NA
Zambia,NA,21,NA
Zimbabwe,NA,14,NA
Zimbabwe,NA,73,NA
Congo (the Democratic Republic of the),Torrential rains,1,NA
Timor-Leste,NA,NA,NA
Congo (the Democratic Republic of the),Heavy rains,NA,NA
Congo (the Democratic Republic of the),NA,34,NA
Congo (the Democratic Republic of the),NA,13,NA
Congo (the Democratic Republic of the),NA,20,NA
Congo (the Democratic Republic of the),NA,19,NA
Congo (the Democratic Republic of the),NA,42,NA
Congo (the Democratic Republic of the),NA,10,NA
Congo (the Democratic Republic of the),NA,13,NA
Zambia,NA,5,NA
China,NA,83,329000
China,NA,9,638000
Dominican Republic (the),NA,129,77700
Dominican Republic (the),NA,33,45000
Guadeloupe,NA,NA,300000
Guatemala,NA,NA,NA
Honduras,NA,1,6579
Cuba,NA,1,500000
France,NA,1,NA
Australia,Storms and heavy rains,9,1300000
China,Heavy rain,43,78000
India,NA,66,NA
Bulgaria,NA,2,NA
Cuba,NA,NA,NA
Bangladesh,Monsoonal rain,120,14000
Bangladesh,Monsoonal rain,1110,100000
Brazil,Heavy rain,6,NA
Barbados,NA,NA,NA
China,Heavy rain,535,4425655
China,Heavy rain,170,40000
China,Heavy rain,29,80000
China,Heavy rain,96,NA
China,Heavy rain,11,26000
China,continuous rain,17,5500
Congo (the),Heavy rain,NA,NA
Colombia,Heavy rain,146,NA
Colombia,Heavy rain,13,NA
Colombia,Heavy rain,24,NA
Costa Rica,Heavy rain,19,80000
Guatemala,Heavy rain,11,NA
Haiti,Heavy rain,2,NA
Indonesia,Heavy rains,58,NA
Indonesia,Heavy rain,88,NA
Indonesia,Seasonal torrential rain,127,NA
Indonesia,Heavy rain,4,NA
India,Monsoonal rain and tropical cyclone,127,NA
India,Heavy rains,76,NA
Chile,Sub-marine volcano,10,NA
Indonesia,NA,25,500000
Bolivia (Plurinational State of),"Heavy rain, La Nina",75,500000
United Kingdom of Great Britain and Northern Ireland (the),"Heavy rain, thunderstorms",1,448000
China,NA,21,7200
Algeria,"Heavy rains, violent storms",18,29500
United Kingdom of Great Britain and Northern Ireland (the),Hevay rains,7,4000000
Greece,NA,16,NA
Australia,NA,2,100000
Burundi,NA,1,NA
Bangladesh,NA,4234,2300000
Bahamas (the),NA,1,NA
China,NA,39,890555
China,NA,NA,1077788
Dominica,NA,2,20000
Dominican Republic (the),NA,1,40000
Haiti,NA,9,NA
Haiti,NA,90,NA
Haiti,NA,3,NA
Argentina,NA,9,NA
Bolivia (Plurinational State of),NA,NA,NA
China,NA,33,NA
Congo (the Democratic Republic of the),NA,6,NA
Zambia,Torrential rain,4,NA
Zambia,Heavy rains,NA,NA
Zambia,After flood,5,NA
Zimbabwe,NA,NA,1200
Afghanistan,Heavy rain,23,NA
Afghanistan,"Heavy rain, snowmelt",36,NA
Afghanistan,Heavy rain,9,NA
Afghanistan,Melting snow and heavy rains,1,NA
Afghanistan,Heavy rain,10,NA
Afghanistan,Heavy rain,113,NA
Angola,NA,NA,NA
Albania,NA,NA,NA
Albania,High temperatures and dry conditions,NA,NA
Austria,NA,5,NA
Benin,Heavy rains,10,NA
Burkina Faso,Heavy rain,52,NA
Bangladesh,NA,41,NA
Bangladesh,NA,54,NA
Bangladesh,NA,32,NA
Bulgaria,Heavy rain,2,NA
Bulgaria,Heavy rains,8,NA
Bulgaria,Heavy rain,2,NA
Bulgaria,"High temperatures, heavy winds, dry conditions",1,2454
Bulgaria,NA,2,NA
Bosnia and Herzegovina,NA,NA,NA
Belize,NA,NA,14847
Brazil,NA,1,NA
Brazil,Lack of rain from last six months,NA,NA
Brazil,Heavy rain,4,NA
Central African Republic,Heavy rains,1,NA
Canada,Snowmelt,NA,NA
Canada,NA,4,NA
Switzerland,Heavy rain,1,350000
Chile,NA,2,100000
Chile,NA,6,NA
China,NA,13,NA
China,NA,3,342000
China,Torrential rains,9,NA
China,Heavy rain,NA,13000
China,Heavy rain,26,NA
China,Heavy rain,11,26000
Côte d’Ivoire,Heavy rain,NA,NA
Cameroon,Heavy rains,8,NA
Colombia,NA,NA,NA
Colombia,"La Nina, heavy rain",35,NA
Comoros (the),NA,29,NA
Costa Rica,Heavy rain,NA,NA
Cuba,Heavy rains,NA,NA
Cyprus,NA,4,NA
Germany,Heavy rain,1,NA
Djibouti,Poor sanitation and hygiene conditions,6,NA
Djibouti,NA,NA,NA
Dominican Republic (the),Heavy rain,9,NA
Algeria,Unknown,12,NA
Algeria,Heavy rain,1,NA
Algeria,Heavy rains,14,NA
Algeria,Heat wave,8,NA
Spain,Heavy rain,1,400000
Spain,Heavy rains,3,NA
Ethiopia,NA,5,NA
Ethiopia,Heavy rain,NA,NA
Ethiopia,Heavy rain,17,NA
Fiji,NA,5,7000
Fiji,NA,NA,652
Gabon,NA,NA,NA
United Kingdom of Great Britain and Northern Ireland (the),NA,NA,60000
United Kingdom of Great Britain and Northern Ireland (the),Heavy rain,6,4000000
Ghana,Heavy rains,56,NA
Guinea,NA,NA,NA
Guinea,NA,90,NA
Gambia (the),Heavy rains,NA,NA
Greece,Heavy Rain,2,NA
Greece,NA,3,NA
Greece,"Human, high winds and drought",65,1750000
Guatemala,Heavy rains,NA,NA
Honduras,NA,NA,NA
Honduras,Heavy rains,5,NA
Honduras,Heavy rains,1,NA
Croatia,"Hot and dry weather, strong winds",NA,NA
Croatia,NA,12,NA
Haiti,Heavy rains,4,NA
Haiti,Heavy rains,41,NA
Hungary,NA,500,NA
Indonesia,NA,NA,NA
Indonesia,NA,3,NA
Indonesia,NA,NA,NA
Indonesia,NA,NA,NA
Indonesia,Heavy rain,4,NA
Indonesia,Heavy rain,15,NA
Indonesia,NA,365,NA
Indonesia,NA,16,NA
India,Tropical depression in Bay of Bengal,80,275000
India,Monsoonal rain,15,NA
India,Monsoonal rain,225,NA
India,Monsoonal rain,62,NA
India,Monsoonal rain,29,NA
India,Monsoonal rain,NA,NA
India,Monsoonal rain,1103,NA
India,Monsoonal rain,16,NA
India,Monsoonal rain,94,NA
India,Heavy rain,29,NA
India,Monsoonal rain,15,NA
India,Monsoonal rain,96,NA
India,Monsoonal rain,44,101151
India,NA,NA,NA
India,NA,47,NA
Chile,Heavy rains,5,NA
Guatemala,"Heavy rains, concentration of humidity, over saturation of soil",27,NA
China,NA,25,49000
Dominican Republic (the),NA,4,NA
Guatemala,NA,17,NA
Australia,NA,1,450000
Bulgaria,NA,10,NA
Costa Rica,NA,4,NA
France,NA,NA,NA
Cayman Islands (the),NA,NA,NA
Ethiopia,"Heavy drought, weak reany season, loss of animals, food shortages and increase of prices",NA,NA
Cuba,NA,7,1500000
Afghanistan,NA,1317,NA
Burundi,Heavy rain,6,NA
Bangladesh,Moonsonal rain,16,NA
Brazil,Storm and heavy rains,4,NA
Brazil,Brief torrential rains,9,NA
Brazil,Heavy rain,36,360000
Brazil,Torrential rains,151,750000
Chile,Heavy rain,4,23000
China,NA,87476,85000000
China,Torrential rains,64,NA
China,Torrential rain,176,2200000
China,Heavy rains,67,29000
Cameroon,Heavy rains,9,NA
Colombia,NA,11,10000
Colombia,NA,16,NA
Colombia,Heavy rain,11,NA
Costa Rica,Indirect influence of tropical storms,NA,NA
Costa Rica,Tropical Depression 16,6,NA
Costa Rica,"Heavy rains, combination of cold front and low pressure system",1,NA
Dominican Republic (the),NA,8,NA
Algeria,Heavy rains,93,348000
Ecuador,"Heavy rain, La Nina",41,1000000
Greece,NA,2,NA
Guatemala,Tropical Depression 16,3,NA
Honduras,"Tropical depression 16 (Paloma), low depression and swell",67,NA
Indonesia,Heavy rains,11,NA
Indonesia,Heavy rains,33,NA
India,Monsoonal rain,1063,123000
India,Monsoonal rain,173,NA
Australia,Heavy rain,4,275000
Indonesia,Heavy rain,3,NA
India,"River Kosi in Nepal discharged huge levels of water, monsoonal rains",47,20000
Bolivia (Plurinational State of),NA,NA,NA
Germany,NA,3,1500000
China,NA,4,58000
Dominican Republic (the),NA,1,NA
United Kingdom of Great Britain and Northern Ireland (the),Torrential rain,8,50000
China,NA,NA,733000
China,NA,129,21100000
Antigua and Barbuda,NA,NA,NA
Austria,NA,4,500000
Bangladesh,NA,15,NA
Bahamas (the),NA,NA,NA
Belize,NA,7,NA
China,NA,14,175000
China,NA,1,73000
China,NA,NA,80000
Cuba,NA,NA,2072000
Germany,NA,5,1200000
Fiji,NA,7,30000
France,NA,2,NA
United Kingdom of Great Britain and Northern Ireland (the),NA,NA,NA
Hong Kong,NA,NA,NA
Haiti,NA,85,NA
Haiti,NA,529,NA
Haiti,NA,74,NA
India,NA,111,25000
Afghanistan,NA,NA,NA
Burundi,NA,NA,NA
Djibouti,Delayed and below-normal rains,NA,NA
Cuba,NA,NA,NA
Canada,NA,NA,NA
China,NA,16,NA
Haiti,NA,10,NA
Afghanistan,Heavy rains,NA,NA
Afghanistan,NA,17,NA
Angola,Heavy rains,7,NA
Angola,NA,229,NA
Angola,NA,134,NA
Argentina,NA,NA,NA
Argentina,Heavy rain,NA,NA
Australia,Heavy rain,1,90000
Australia,Heavy rain,NA,600000
Australia,Heavy rains,2,1100000
Burundi,Heavy rains,3,NA
Belgium,NA,NA,NA
Belgium,NA,1,NA
Benin,Heavy rains,15,NA
Benin,NA,29,NA
Benin,"Poor hygiene habits, lack of sanitation facilities, heavy rains, contaminated sources of drinking water",2,NA
Benin,NA,2,NA
Burkina Faso,NA,NA,NA
Burkina Faso,Heavy rains,6,NA
Burkina Faso,NA,250,NA
Burkina Faso,NA,300,NA
Bangladesh,Monsoonal rains,12,NA
Bangladesh,Hevay tropical rains,13,NA
Bangladesh,NA,12,NA
Bahamas (the),NA,NA,NA
Belize,Tropical depression 16,1,9697
Bolivia (Plurinational State of),NA,NA,NA
